,property_id,property_label,person_count,rank,coverage_%
0,P31,instance of,1000,1,100.0
1,P27,country of citizenship,1000,2,100.0
2,P21,sex or gender,995,3,99.5
3,P106,occupation,930,4,93.0
4,P735,given name,907,5,90.7
5,P569,date of birth,886,6,88.6
6,P734,family name,828,7,82.8
7,P19,place of birth,532,8,53.2
8,P570,date of death,464,9,46.4
9,P2671,Google Knowledge Graph ID,338,10,33.8
10,P1412,"languages spoken, written or signed",332,11,33.2
11,P214,VIAF cluster ID,272,12,27.2
12,P641,sport,257,13,25.7
13,P20,place of death,232,14,23.2
14,P18,image,191,15,19.1
15,P213,ISNI,177,16,17.7
16,P4359,gravsted.dk ID,173,17,17.3this 
17,P227,GND ID,172,18,17.2
18,P69,educated at,171,19,17.1
19,P10832,WorldCat Entities ID,170,20,17.0
20,P373,Commons category,169,21,16.9
21,P646,Freebase ID,168,22,16.8
22,P8341,Dansk Biografisk Leksikon ID,162,23,16.2
23,P166,award received,154,24,15.4
24,P244,Library of Congress authority ID,152,25,15.2
25,P39,position held,138,26,13.8
26,P8313,Lex ID,133,27,13.3
27,P345,IMDb ID,120,28,12.0
28,P1559,name in native language,115,29,11.5
29,P1532,country for sport,110,30,11.0
30,P119,place of burial,105,31,10.5
31,P3368,Prabook ID,103,32,10.3
32,P3373,sibling,101,33,10.1
33,P2626,Danish National Filmography person ID,100,34,10.0
34,P22,father,99,35,9.9
35,P3786,Danskefilm person ID,98,36,9.8
36,P2600,Geni.com profile ID,93,37,9.3
37,P7763,copyright status as a creator,90,38,9.0
38,P1138,Kunstindeks Danmark Artist ID,90,39,9.0
39,P13591,‎Yale LUX ID,88,40,8.8
40,P269,IdRef ID,86,41,8.6
41,P108,employer,85,42,8.5
42,P7972,CVR person ID,83,43,8.3
43,P54,member of sports team,83,44,8.3
44,P40,child,83,45,8.3
45,P4112,danskfilmogtv person ID,82,46,8.2
46,P413,position played on team / speciality,80,47,8.0
47,P1344,participant in,79,48,7.9
48,P1006,Nationale Thesaurus voor Auteursnamen ID,78,49,7.8
49,P2605,ČSFD person ID,76,50,7.6
50,P12386,Dansk Forfatterleksikon ID,76,51,7.6
51,P102,member of political party,75,52,7.5
52,P26,spouse,73,53,7.3
53,P4985,TMDB person ID,71,54,7.1
54,P1343,described by source,68,55,6.8
55,P7902,Deutsche Biographie (GND) ID,65,56,6.5
56,P1015,BIBSYS ID,61,57,6.1
57,P1207,NUKAT ID,60,58,6.0
58,P103,native language,60,59,6.0
59,P268,Bibliothèque nationale de France ID,58,60,5.8
60,P12098,Kinobox person ID,57,61,5.7
61,P1953,Discogs artist ID,54,62,5.4
62,P13049,DDB person (GND) ID,51,63,5.1
63,P8189,National Library of Israel J9U ID,48,64,4.8
64,P4432,Artists of the World ID,47,65,4.7
65,P3537,FootballDatabase.eu person ID,46,66,4.6
66,P434,MusicBrainz artist ID,46,67,4.6
67,P2604,Kinopoisk person ID,44,68,4.4
68,P906,SELIBR ID,44,69,4.4
69,P5587,Libris-URI,44,70,4.4
70,P4381,Soccerdonna player ID,43,71,4.3
71,P10302,Film.ru person ID,42,72,4.2
72,P1303,instrument,42,73,4.2
73,P2163,FAST ID,41,74,4.1
74,P6275,copyright representative,40,75,4.0
75,P856,official website,40,76,4.0
76,P1477,birth name,40,77,4.0
77,P463,member of,39,78,3.9
78,P7939,Dansk kvindebiografisk leksikon ID,38,79,3.8
79,P3154,Runeberg author ID,37,80,3.7
80,P8286,Olympedia people ID,37,81,3.7
81,P6109,Danish Football Union player ID,36,82,3.6
82,P937,work location,36,83,3.6
83,P2446,Transfermarkt player ID,35,84,3.5
84,P2949,WikiTree person ID,35,85,3.5
85,P2519,Scope.dk person ID,34,86,3.4
86,P101,field of work,34,87,3.4
87,P691,NL CR AUT ID,33,88,3.3
88,P1871,CERL Thesaurus ID,32,89,3.2
89,P3901,ADAGP artist ID,30,90,3.0
90,P25,mother,30,91,3.0
91,P3782,Artnet artist ID,30,92,3.0
92,P4342,Great Norwegian Encyclopedia ID,30,93,3.0
93,P10632,OpenSanctions ID,30,94,3.0
94,P2003,Instagram username,30,95,3.0
95,P3222,NE.se ID,30,96,3.0
96,P9964,Kalliope-Verbund (GND) ID,30,97,3.0
97,P7545,askArt person ID,30,98,3.0
98,P2031,start of work period,30,99,3.0
99,P2168,Swedish Film Database person ID,29,100,2.9
100,P6379,has works in the collection,29,101,2.9
101,P7293,National Library of Poland MMS ID,29,102,2.9
102,P2048,height,29,103,2.9
103,P5008,on focus list of Wikimedia project,29,104,2.9
104,P2369,Scorebar / Soccerway person ID,28,105,2.8
105,P648,Open Library ID,27,106,2.7
106,P3846,DBC author ID,27,107,2.7
107,P2013,Facebook username,27,108,2.7
108,P1447,Sports-Reference.com Olympic athlete ID (archived),27,109,2.7
109,P8912,Kicker.de player ID,27,110,2.7
110,P512,academic degree,27,111,2.7
111,P1889,different from,26,112,2.6
112,P4663,DACS ID (former),26,113,2.6
113,P10706,DACS ID (2022),26,114,2.6
114,P6978,Scandinavian middle family name,26,115,2.6
115,P6640,JRC Names ID,26,116,2.6
116,P2843,Benezit ID,26,117,2.6
117,P1066,student of,25,118,2.5
118,P551,residence,25,119,2.5
119,P5750,FBref player ID,25,120,2.5
120,P245,Union List of Artist Names ID,25,121,2.5
121,P650,RKDartists ID,25,122,2.5
122,P2002,X (Twitter) username,22,123,2.2
123,P6821,Alvin ID,22,124,2.2
124,P14105,‎InterSportStats athlete ID,22,125,2.2
125,P7704,Europeana entity,22,126,2.2
126,P6777,Danskefilmstemmer.dk person ID,21,127,2.1
127,P1472,Commons Creator page,21,128,2.1
128,P5882,Muziekweb performer ID,19,129,1.9
129,P2067,mass,19,130,1.9
130,P2020,WorldFootball.net person ID (old),19,131,1.9
131,P1266,AlloCiné person ID,18,132,1.8
132,P7847,DigitaltMuseum ID,18,133,1.8
133,P1248,KulturNav-ID,18,134,1.8
134,P410,"military, police or special rank",18,135,1.8
135,P136,genre,18,136,1.8
136,P9662,LdiF person ID,17,137,1.7
137,P53,family,17,138,1.7
138,P396,SBN author ID,17,139,1.7
139,P973,described at URL,16,140,1.6
140,P10902,FirstCycling rider ID,16,141,1.6
